interaction_id,timestamp,query_type,handled_by,response_time_min,resolution_status,customer_sentiment,customer_satisfaction,interaction_cost_usd,customer_id,region,device_type,follow_up_required
29d12bee-b55a-4167-9528-0d301c85e598,2024-01-15,Password Reset,Human Agent,7.19,Resolved,0.08,4,5.09,a0d637aa-c6c8-412a-8153-67e17860ab14,Maine,Tablet,True
c24befcc-b463-43d1-8b8c-a518556584e2,2024-04-18,Account Update,Human Agent,11.99,Resolved,0.18,2,4.01,95e506b9-e648-4a49-a940-45b4a7ca7857,Maryland,Desktop,False
edb94c15-3ee8-4f6e-abfd-32d88b173fb4,2024-03-30,Password Reset,Human Agent,4.68,Resolved,0.9,3,6.02,e1b2d8d0-21ee-4f2c-a8b3-4a059a28ad3b,Georgia,Mobile,False
a8949987-8d73-44fa-b13f-31ddcd71ac78,2024-02-17,Password Reset,Human Agent,7.55,Resolved,0.57,3,9.89,146f4e8e-fe81-4a1e-904f-af4ef1d461b7,California,Desktop,False
4928867c-97b5-40ce-ae7e-aad83c50f3f9,2024-03-16,Shipping Inquiry,AI Chatbot,1.02,Resolved,0.22,4,3.9,207e5209-cee5-4b85-81bc-04da9369e870,Rhode Island,Desktop,False
4846d14b-9725-4dbb-bc61-3ac3da4ab9be,2024-04-10,Billing Question,Human Agent,11.63,Resolved,0.8,5,4.85,92d32d32-dcff-4028-bc68-ceed1e44e3f8,South Carolina,Desktop,False
e18a87a3-ff66-4ac9-a198-0c5cf2ae4a71,2024-01-01,Account Update,AI Chatbot,2.18,Pending,0.76,3,3.8,6aa87e19-2eec-47a0-afff-0ff6dec96be7,California,Desktop,False
84673c17-a7e8-420f-bab1-9b83c9824e35,2024-06-11,Shipping Inquiry,AI Chatbot,2.99,Pending,-0.29,3,2.84,21655b98-b89f-47c5-8ae6-3d75ada1a561,Kansas,Mobile,False
3e69eb65-5bbb-44fd-b9b2-e776ce1a9318,2024-02-13,Billing Question,Human Agent,5.36,Resolved,0.02,2,8.68,e30c96b3-e154-4c22-8d72-1e02c4ffc821,South Carolina,Desktop,False
133bb626-19e9-4706-8acb-a432f4401277,2024-04-02,Billing Question,AI Chatbot,1.06,Resolved,0.19,4,3.46,21bad1f7-22c8-48c2-aa87-c0530eb1ca27,Montana,Tablet,False
7633408c-3480-4c48-92ba-f242e1e28f87,2024-01-21,Billing Question,AI Chatbot,0.2,Resolved,0.72,5,3.79,c2923ac6-ea1d-430c-94eb-988c4e1b041c,West Virginia,Mobile,True
feb8d432-2ad5-4505-9cfb-addf7f35e312,2024-04-05,Technical Support,Human Agent,11.66,Resolved,0.27,5,7.03,2420cfb5-9d53-44ee-95c2-3dec442200fe,South Carolina,Tablet,False
60cf8519-6e46-4457-a8d9-5b4067bd8d5a,2024-01-19,Account Update,Human Agent,6.19,Pending,0.22,2,7.89,83a778eb-8dc4-4d21-a4ba-5c7b14e6c7dc,Delaware,Tablet,False
abd615c6-5531-42a4-a2a2-26a45cf5ca7f,2024-04-26,Billing Question,Human Agent,10.37,Resolved,1.0,5,7.61,4babb771-741d-472a-adb3-1dcd759a21b4,West Virginia,Mobile,False
abc8309a-4aa8-4463-9b1f-bf054c9b57b2,2024-01-09,Account Update,AI Chatbot,0.92,Resolved,0.37,3,3.31,41b4aea5-a3ae-44a5-a835-b3abaf21df32,Oregon,Desktop,False
48f565b6-4b93-4478-957c-46a1ded8b0cd,2024-05-01,Product Information,Human Agent,2.26,Resolved,0.42,4,6.72,e6e5db84-7f0d-4dd0-8c6c-676b3f6c6e2a,Oklahoma,Desktop,False
71079dc5-f298-4523-8198-158806b2b450,2024-02-05,Billing Question,Human Agent,0.89,Escalated,0.87,2,5.5,a28107ff-274d-443f-a957-bf3cf419074f,Maine,Tablet,True
fc14ad62-e1c5-4afd-8d91-e08ff773f338,2024-05-05,Technical Support,Human Agent,10.81,Resolved,0.63,3,7.6,dc684833-cf86-40e3-9a26-61b90f1d7233,Michigan,Mobile,False
9dee364e-4fef-4234-95cf-d4a22baab253,2024-02-25,Billing Question,AI Chatbot,2.45,Pending,0.21,1,3.9,fdb48004-b6d3-4022-b256-c83089ca599d,Arizona,Desktop,True
edef1025-86fa-4b1b-9ca7-87756fabaf28,2024-06-12,Password Reset,AI Chatbot,1.52,Resolved,0.45,3,5.79,e647b60e-536e-4392-b293-66509cb9d03f,Nebraska,Mobile,False
112070a3-5289-47f8-a98a-039d4df89a3b,2024-04-27,Password Reset,Human Agent,8.1,Pending,0.46,2,6.1,b0996f91-1c90-4e82-a760-3e2f91db5661,Tennessee,Desktop,True
7d2b4914-16ee-44ee-b255-9d5e79ee484b,2024-04-26,Product Information,Human Agent,6.53,Resolved,-0.01,3,7.23,fd44c2a5-2a77-4c6a-bd48-ca8d67969ecf,Maryland,Desktop,False
7f08155b-d186-458a-9d82-b346fe33fa7a,2024-06-03,Password Reset,AI Chatbot,0.2,Escalated,0.41,2,3.74,c3d0567a-6a8c-4471-9568-737186936605,Massachusetts,Mobile,False
dd04c72c-d827-45c7-ad5b-baf50d7c9998,2024-05-13,Technical Support,AI Chatbot,2.02,Resolved,0.74,5,2.3,fff1cca5-0ba8-44d1-829e-44b14444ebad,Maine,Tablet,False
e3d66cf2-883f-4423-a6af-0ade2c3c2b79,2024-06-25,Shipping Inquiry,Human Agent,5.15,Escalated,0.83,2,7.16,08e5d857-059d-4568-a3a1-cb83a27b3b8c,Wisconsin,Mobile,True
c1ab7556-45e5-4d8b-b991-db275289907c,2024-05-08,Billing Question,Human Agent,7.66,Resolved,0.25,4,7.29,97eb2d00-852f-48bd-bc10-ffcb744d98da,Delaware,Desktop,False
ad92bd1d-26c5-488d-af45-99bfdbe9a368,2024-02-22,Product Information,AI Chatbot,1.18,Resolved,0.49,3,3.8,e763b85e-e02c-4ddf-aead-82ecfb5ded2a,Washington,Tablet,False
47ff1940-4979-4051-afbf-1f62d5b693fc,2024-02-01,Product Information,Human Agent,0.5,Escalated,0.32,3,6.15,5349da0f-2d1b-4fa8-94ce-a9eeb394671f,Washington,Mobile,False
ddfa5819-cf8a-4a4a-b772-aae5b527389a,2024-02-26,Shipping Inquiry,AI Chatbot,0.2,Escalated,0.1,4,3.79,bb9018ae-06cd-4c4b-b8ec-cbf9c81ac979,Tennessee,Mobile,False
a102aec5-35c4-41fd-a9af-fe0fc5200bf8,2024-02-07,Account Update,AI Chatbot,2.08,Resolved,0.92,4,5.58,d15d41be-0a8b-498d-a9f6-a7b09f175614,Connecticut,Tablet,False
a814cb81-f55b-4efe-a3e3-468786c8de53,2024-03-19,Technical Support,Human Agent,9.94,Escalated,0.5,1,6.92,4a090cf1-6d45-455d-b0a1-d052bb279976,Massachusetts,Tablet,False
ffb99354-4f99-4c12-bb8c-35398bfb8904,2024-02-03,Shipping Inquiry,AI Chatbot,0.7,Resolved,0.12,4,-0.09,d2c1aec2-1dbd-472a-a024-9cb743ca9c76,Wyoming,Tablet,False
6f8a9b98-e427-4e03-b141-8df97c9bab9e,2024-03-20,Technical Support,Human Agent,8.1,Resolved,0.12,4,6.56,1a7157d5-ec98-47af-9628-eb87cb2eabbd,Hawaii,Desktop,False
709b983b-eecd-4e46-a0bb-2e5b5670ccd1,2024-04-02,Technical Support,AI Chatbot,0.54,Escalated,0.45,1,1.05,57a77082-b6c9-4a87-a34f-c8bd2f47adaa,Maine,Desktop,True
1b0b5f87-7ba9-4384-adfb-8ec5ecba884d,2024-03-10,Shipping Inquiry,Human Agent,2.7,Resolved,0.34,5,7.05,89a7303f-d0be-4b78-8baa-abdb1f21784e,Maryland,Mobile,True
fafa5c9b-d130-4f93-b976-7b97bd254d8e,2024-02-16,Account Update,AI Chatbot,2.1,Escalated,0.11,2,2.14,c2a50b37-5f99-4744-8ac9-d75081c0a7ba,Minnesota,Tablet,False
03d5c128-2de2-4b39-9f1e-5c1d9c16f869,2024-01-14,Product Information,AI Chatbot,1.06,Escalated,-0.36,3,3.47,e60ddc57-4073-4e2e-9d8d-efce0d7786a6,Michigan,Mobile,False
e0927c54-ca69-4a89-8821-8df8f1a4226f,2024-01-18,Password Reset,Human Agent,2.18,Resolved,0.46,3,6.93,7d77e24c-ecf9-490b-ac5e-116b1b864013,Missouri,Mobile,False
23c93c84-e7dd-46ee-a754-034eca32e11b,2024-03-26,Account Update,Human Agent,12.06,Resolved,0.66,3,7.0,c5e52577-9be8-4633-bf34-106c709700e7,Alaska,Tablet,False
7d5ae607-62c1-482a-af64-4a5f6ec67a46,2024-02-03,Account Update,AI Chatbot,2.54,Resolved,0.9,4,2.57,a418ea53-d442-4a79-aa7d-0a0336508e32,Montana,Tablet,False
285a1d18-46e4-4517-9d53-2ba89e6ca71f,2024-02-28,Product Information,AI Chatbot,0.52,Resolved,0.47,3,2.06,fb78dc51-f6d8-4241-bc15-c99e1c99a673,Delaware,Tablet,True
2a420911-eb20-4127-8e13-65c44b5f0163,2024-03-15,Password Reset,Human Agent,9.39,Resolved,0.44,3,7.68,c4da8ebf-147e-46c6-bffc-0c8d5a43b25d,Pennsylvania,Desktop,False
cc2790b7-feae-428c-9604-52bf0e36512e,2024-03-02,Product Information,AI Chatbot,2.93,Resolved,0.79,3,3.86,3f99acb6-bed2-4ea8-8f36-15ed881e3990,Connecticut,Tablet,False
d0d2eb99-824d-46b0-975f-186e6decb125,2024-01-19,Product Information,Human Agent,7.65,Resolved,0.91,3,7.21,dad6fb0c-bfd3-41b5-b564-ea0fff7666b4,Washington,Tablet,False
6b37b7f1-0d17-4b47-ae07-23d1b06026d8,2024-04-09,Shipping Inquiry,Human Agent,1.81,Resolved,0.77,5,9.98,ff70b444-295b-4e93-86e0-e7c256895e8e,Arizona,Tablet,False
f3b85f9b-6f3b-4a12-b58e-9db6b4a0e125,2024-06-16,Password Reset,AI Chatbot,2.08,Escalated,-0.04,2,6.65,9c34b13b-807f-4bd5-8aa6-ff4886e69789,Vermont,Tablet,False
1eb8a75b-5dbc-41b1-acf5-c1f7396c5529,2024-04-03,Billing Question,Human Agent,8.35,Resolved,0.59,3,5.14,83df967a-8688-4cbd-8aa1-8be60e0b1171,North Carolina,Mobile,False
0db191f3-0192-4fd2-948a-21565d3756df,2024-03-04,Billing Question,AI Chatbot,1.42,Escalated,0.33,2,2.35,4c2a91f4-e952-442a-806c-6e728fd56d96,Delaware,Tablet,True
300318df-9ff4-4c20-95d8-24909a9529d4,2024-01-05,Shipping Inquiry,Human Agent,9.23,Resolved,0.47,5,8.24,f547b835-5c5a-4b26-9071-550cacbc7cc2,Michigan,Tablet,False
f5a3cadc-1287-4201-8886-9bb6beec0449,2024-04-13,Shipping Inquiry,Human Agent,1.39,Resolved,0.29,2,7.02,73871812-a6f2-494e-8312-f11ae598c4fe,Michigan,Mobile,False
a084924a-0473-4dc8-8f80-5d9c3ec6a001,2024-02-22,Shipping Inquiry,AI Chatbot,0.88,Pending,0.39,1,4.72,9835663e-c1c5-439b-a0ef-db5a25fba0c1,Massachusetts,Desktop,True
bd38d6f1-65ae-4781-b3b6-21cce5dbe131,2024-01-15,Account Update,AI Chatbot,2.69,Resolved,0.29,4,4.08,ae2f763d-c054-43c1-b150-f184f3a6d077,Oklahoma,Desktop,True
d38426e8-0244-45dd-90a9-bb1e82bb613a,2024-03-26,Password Reset,AI Chatbot,2.65,Resolved,0.29,2,4.01,934d8a6c-6666-4ee6-85a9-9386a57b87a2,Wisconsin,Tablet,False
5d3d5e44-a53c-4230-bf26-335e29fb5bf7,2024-06-28,Billing Question,Human Agent,5.67,Resolved,0.51,4,8.46,e7666e40-9556-4941-ae08-cd26a5b7e9af,Georgia,Desktop,False
8e8a6c2a-d314-4c32-9939-7639336189b6,2024-06-12,Technical Support,AI Chatbot,0.96,Resolved,-0.07,4,4.25,6b8870cf-0ae5-4c91-b7f3-a1d6654b52fc,Idaho,Mobile,False
1eac5b13-dd96-4e4a-90b3-9e30656b2482,2024-02-16,Technical Support,Human Agent,9.29,Resolved,0.46,3,6.34,612f1e9a-1eac-4a03-b6ed-85bc4e3dd6cd,Maine,Mobile,False
4f826818-c344-4bb9-ac9a-4d51b81f288f,2024-06-19,Billing Question,AI Chatbot,2.75,Pending,0.48,1,3.71,df34f39d-0786-4c6a-b9af-211e092806bf,Nebraska,Desktop,False
0ff8dc33-41ee-4a7e-bd85-57553854c79b,2024-05-01,Billing Question,Human Agent,6.01,Resolved,0.26,4,6.42,d35cfa67-747e-47d4-bf9d-62d9fc4505fe,Louisiana,Tablet,False
89e3b518-88c7-4c3d-8595-29581232cdd1,2024-02-24,Technical Support,Human Agent,2.25,Resolved,0.82,4,6.05,a56955d5-54ed-41a6-975d-9df6ba52d033,New York,Mobile,False
a96d4965-f47b-4d25-8d9e-f5d0f35f1c53,2024-02-04,Account Update,Human Agent,9.47,Resolved,0.42,5,5.77,96a9e6e5-b6b2-433d-bbd7-c8c561247602,North Dakota,Desktop,False
a223252d-d733-45c6-ae3c-810aac7a3cc7,2024-06-19,Account Update,Human Agent,6.43,Resolved,0.49,4,5.95,ef767368-b737-4557-8fa4-1aaac1985ed7,Nevada,Tablet,False
b46c9576-01aa-4e02-8ffb-bd4b3a6920df,2024-06-02,Technical Support,Human Agent,3.95,Pending,0.56,2,5.34,4e687e6d-0508-45d4-aad9-53951c9456ae,Texas,Mobile,True
e80d416a-8f01-459e-99d3-d7afcfcd67cf,2024-04-13,Technical Support,AI Chatbot,1.03,Escalated,0.34,3,2.78,8a7d12dd-8f03-4ee1-8d79-44ca7c67ee5b,Indiana,Desktop,False
acb6c87e-3542-4a45-b4bf-8ac48390f823,2024-01-29,Product Information,AI Chatbot,2.26,Resolved,0.18,5,1.5,fb043a1d-811d-4c8b-8370-6dcdf86a2813,Iowa,Mobile,False
d9d50efe-8735-44bf-aced-5f0a24c1b6e3,2024-04-22,Password Reset,Human Agent,3.47,Resolved,0.46,2,5.83,ecb3ff46-36df-4001-b05c-59eb53ca7444,Arkansas,Desktop,False
dac1b1de-008f-434f-910d-8c740b0dae73,2024-05-03,Shipping Inquiry,AI Chatbot,1.32,Resolved,0.61,3,2.06,6c3fcc08-8604-4716-89e5-eae8053154bd,Arizona,Mobile,False
d7297943-8e18-4ae3-963c-1e0ef982262e,2024-03-12,Password Reset,Human Agent,5.43,Resolved,0.55,3,6.66,43567f43-dd17-4086-af47-c177336ae34e,Illinois,Mobile,False
ae19c6e9-b9a0-41ef-8b58-790bcb52d60b,2024-03-18,Technical Support,AI Chatbot,0.31,Resolved,0.03,5,4.15,d501f5e5-7bf2-4189-9efa-841cc18f3b44,New York,Mobile,False
d3506946-c8e2-4ba1-84ea-9c1e734e5c6f,2024-04-21,Password Reset,Human Agent,1.99,Escalated,0.93,2,8.57,186e4f1f-31cf-4963-8c0f-a0f46e9eda52,California,Tablet,False
f447326f-992b-44eb-9953-f75777847ff9,2024-05-09,Product Information,Human Agent,10.56,Resolved,0.2,3,7.71,de935589-e771-461b-a007-8c139ba72d15,South Carolina,Mobile,False
7f6e4383-2ebf-40d1-b09f-d5923736a590,2024-04-17,Technical Support,Human Agent,6.89,Escalated,0.73,2,9.02,76be1fc9-d98e-4088-aec0-111651ddf0e0,Alabama,Mobile,True
5ab145ee-955b-4a59-be1c-1c85a145ccca,2024-01-14,Account Update,AI Chatbot,0.94,Resolved,0.79,3,5.78,27055c34-eb2c-4333-95a4-80eeed5c9582,Rhode Island,Tablet,True
48563d65-27a0-4d59-8d98-9d1c3a77457d,2024-01-29,Product Information,Human Agent,2.11,Resolved,0.57,4,7.71,197b1d3a-98f4-41b4-8560-0877b43735b4,Georgia,Tablet,False
645554cc-3827-49c4-b0d0-395262e56b96,2024-04-15,Account Update,Human Agent,4.3,Resolved,0.13,4,5.0,d73331b9-c50f-497e-89a2-515b4d9327fb,Mississippi,Desktop,False
6c0cabe7-c510-4a33-a39d-3a511deeb886,2024-05-17,Technical Support,AI Chatbot,0.21,Resolved,-0.08,3,3.3,c047e2c0-0ecd-4979-bec6-6aa7f7977171,New Jersey,Tablet,False
d314352e-841c-4d75-bca0-e36a3392aca1,2024-01-26,Product Information,Human Agent,6.32,Escalated,0.76,3,9.25,c558e73e-36be-4490-b916-15eb37f99059,Iowa,Mobile,False
1928c61f-04ec-47a6-81d0-5a397a224673,2024-02-24,Technical Support,AI Chatbot,1.57,Resolved,0.35,3,3.18,41e18ab9-d0c2-46ce-81b9-7662e74d3ddd,Minnesota,Tablet,False
a562603f-8f88-4679-b6a2-6a665de3d1fe,2024-04-18,Billing Question,Human Agent,5.56,Resolved,1.0,3,4.33,82c7d0c7-e17e-466b-8c97-ab2cf59dc366,Connecticut,Mobile,False
e775744b-0661-4921-9853-1f9fbb3058dc,2024-04-13,Billing Question,Human Agent,9.12,Resolved,0.23,3,8.39,aea81e95-057d-43e7-974e-23c24b66ee61,Tennessee,Desktop,False
36665e5f-8cdc-4a3e-b149-a278ac9e853d,2024-01-19,Product Information,Human Agent,8.99,Resolved,0.7,4,8.93,ff6a79b2-720a-4848-bb4d-c0e66e1ad4e9,Virginia,Tablet,False
51816b20-8e1e-4e47-bf68-83a8f1d14ca7,2024-04-27,Billing Question,AI Chatbot,2.45,Resolved,0.61,3,3.17,8c65eca3-8f82-4639-972a-fe33fb91b7c0,Rhode Island,Desktop,False
c6fac90d-a97f-4cca-b607-d338162c9e10,2024-05-24,Product Information,Human Agent,9.46,Resolved,0.44,3,8.58,138f892d-c4fe-44b3-b760-f1dfa44d7690,Louisiana,Tablet,False
e4815a93-e874-44c4-bd17-d241bf983019,2024-02-28,Product Information,AI Chatbot,2.29,Escalated,0.28,3,2.23,2481b3f8-ddf3-4f61-9e05-81e9b6556acc,Ohio,Mobile,True
b31a7cc2-6b27-42e9-b77c-f8a13070b6cd,2024-06-07,Account Update,Human Agent,4.43,Escalated,1.0,1,8.95,820ee0f6-2736-4844-884b-2a1076c9275b,Alaska,Mobile,False
ba407bf6-88f6-4dfe-a8b7-540601376a57,2024-02-08,Password Reset,Human Agent,11.34,Resolved,0.46,4,7.42,8a00fd04-7c86-49bf-b785-e68d992b4ea0,Vermont,Desktop,False
351e0bde-16e2-4d38-b342-54d6badb2396,2024-05-05,Password Reset,Human Agent,7.77,Resolved,0.39,3,5.22,bf80fe6c-f666-46a4-b9a4-7c5144c0bde8,Nebraska,Tablet,False
3594a087-d84d-4dbf-b31e-3c6611bb3897,2024-05-02,Technical Support,AI Chatbot,2.36,Resolved,0.09,5,2.46,c2fb86f9-9293-4d52-89b3-10d1502567c1,Ohio,Mobile,False
93747e15-f4de-4a6e-bc93-af1c81ecf7db,2024-04-30,Technical Support,AI Chatbot,0.32,Escalated,-0.23,2,2.58,667ae2ba-7c0b-4027-9212-933a7749fc0a,Maine,Mobile,False
9ef07474-c297-4f9e-b446-babf873531ca,2024-06-06,Password Reset,AI Chatbot,1.97,Resolved,0.78,4,1.68,a5007c1c-b628-406d-80c1-47131ce73c45,California,Mobile,True
f93f444c-ab3e-4f45-93dd-3afbe3f4ee5e,2024-02-06,Billing Question,AI Chatbot,1.38,Escalated,0.05,2,4.01,953a608a-50e1-40c5-adc4-c22fe1fefcf5,Mississippi,Tablet,False
050b0bcb-655b-4c07-87c3-ed2263fd35f8,2024-06-01,Password Reset,AI Chatbot,1.4,Escalated,0.1,3,2.24,8d2789f3-bfdb-4e27-80e5-f5ffecbfca49,Hawaii,Mobile,True
edae00e0-1296-48d3-93cc-5ceedaa5547d,2024-04-16,Password Reset,Human Agent,5.13,Resolved,0.23,3,6.75,68af3552-fffd-49cb-9e03-51e65242c210,Virginia,Mobile,False
f5010220-3311-4aef-8ddd-b83ec394bb07,2024-06-25,Shipping Inquiry,AI Chatbot,1.94,Resolved,1.0,2,7.75,c34302f2-f2dd-4206-8e64-ac1b5d65ed66,West Virginia,Mobile,False
ef01994b-3c16-4f7a-8e9e-171022befcb5,2024-01-03,Technical Support,AI Chatbot,1.01,Resolved,0.09,5,5.69,75af3ac2-4a77-4dc2-96f3-5af65bdb35d7,New York,Mobile,True
276911df-7d1f-4fc9-925c-fe33db23c32d,2024-04-14,Shipping Inquiry,Human Agent,6.46,Resolved,-0.13,4,6.7,3cc4b121-855d-4b61-8ebe-c0a3c90fce47,Wisconsin,Tablet,False
70bb5dcc-a06e-4ea2-8e8d-3145ed5f3307,2024-05-03,Product Information,Human Agent,9.65,Resolved,0.11,3,7.34,94e45a98-1ef0-43d0-98b3-1b96fef1177e,Delaware,Mobile,False
